time,err_U,err_p,abs_U,abs_p,accepted,metric
0.4,0.0702037764943518,0.34633474696062905,0.6919753811152377,3.049107984676542,1.0,vol_weighted
0.5,0.017300893743780733,0.09843019949143804,0.17232161309665653,0.6810296945328314,1.0,vol_weighted
0.6,0.0997873099121876,0.10437223601510066,0.9938691796562357,0.7242412736836686,1.0,vol_weighted
0.7,0.00982075155907471,0.11171906423755053,0.09781314012739889,0.7753796071090618,1.0,vol_weighted
0.8,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
0.9,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.0,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.1,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.2,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.3,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.4,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.5,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.6,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.7,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.8,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
1.9,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.0,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.1,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.2,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.3,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.4,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.5,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.6,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.7,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.8,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
2.9,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.0,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.1,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.2,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.3,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.4,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.5,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.6,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.7,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.8,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
3.9,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.0,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.1,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.2,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.3,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.4,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.5,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.6,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.7,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.8,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
4.9,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
5.0,0.01009618564449834,0.11272349991288468,0.1005550610971141,0.7830372050538453,1.0,vol_weighted
